standard_diff,"1,500-2,999 ft","3,000-5,999 ft","< 1,500 ft"
-6480.0,0.0,0.0,50.0
-6450.0,1.0,1.0,46.0
-6420.0,0.0,0.0,53.0
-6390.0,0.0,0.0,67.0
-6360.0,0.0,0.0,63.0
-6330.0,0.0,0.0,55.0
-6300.0,0.0,0.0,75.0
-6270.0,0.0,2.0,65.0
-6240.0,0.0,0.0,58.0
-6210.0,0.0,0.0,55.0
-6180.0,0.0,1.0,56.0
-6150.0,0.0,0.0,74.0
-6120.0,0.0,1.0,65.0
-6090.0,0.0,1.0,66.0
-6060.0,0.0,2.0,73.0
-6030.0,1.0,0.0,67.0
-6000.0,0.0,0.0,68.0
-5970.0,0.0,1.0,71.0
-5940.0,1.0,1.0,74.0
-5910.0,0.0,0.0,75.0
-5880.0,0.0,0.0,68.0
-5850.0,0.0,0.0,59.0
-5820.0,0.0,0.0,63.0
-5790.0,0.0,1.0,76.0
-5760.0,0.0,0.0,73.0
-5730.0,0.0,0.0,75.0
-5700.0,0.0,0.0,78.0
-5670.0,0.0,0.0,79.0
-5640.0,0.0,0.0,71.0
-5610.0,0.0,1.0,68.0
-5580.0,0.0,0.0,67.0
-5550.0,0.0,0.0,86.0
-5520.0,0.0,2.0,96.0
-5490.0,0.0,2.0,91.0
-5460.0,0.0,0.0,75.0
-5430.0,0.0,0.0,89.0
-5400.0,0.0,2.0,94.0
-5370.0,0.0,1.0,80.0
-5340.0,0.0,0.0,78.0
-5310.0,0.0,1.0,94.0
-5280.0,2.0,1.0,78.0
-5250.0,0.0,0.0,75.0
-5220.0,1.0,0.0,60.0
-5190.0,0.0,0.0,72.0
-5160.0,0.0,0.0,89.0
-5130.0,0.0,1.0,95.0
-5100.0,0.0,2.0,96.0
-5070.0,1.0,0.0,79.0
-5040.0,0.0,0.0,80.0
-5010.0,0.0,2.0,101.0
-4980.0,0.0,1.0,85.0
-4950.0,1.0,0.0,85.0
-4920.0,0.0,1.0,68.0
-4890.0,0.0,0.0,81.0
-4860.0,1.0,0.0,97.0
-4830.0,0.0,0.0,100.0
-4800.0,0.0,2.0,85.0
-4770.0,0.0,1.0,94.0
-4740.0,0.0,0.0,105.0
-4710.0,0.0,2.0,96.0
-4680.0,0.0,0.0,85.0
-4650.0,0.0,1.0,103.0
-4620.0,0.0,2.0,102.0
-4590.0,0.0,1.0,101.0
-4560.0,0.0,1.0,85.0
-4530.0,0.0,0.0,101.0
-4500.0,0.0,1.0,97.0
-4470.0,1.0,1.0,109.0
-4440.0,0.0,1.0,126.0
-4410.0,1.0,0.0,84.0
-4380.0,0.0,0.0,92.0
-4350.0,1.0,0.0,85.0
-4320.0,0.0,1.0,93.0
-4290.0,2.0,1.0,89.0
-4260.0,1.0,1.0,100.0
-4230.0,1.0,1.0,94.0
-4200.0,0.0,1.0,89.0
-4170.0,0.0,1.0,100.0
-4140.0,0.0,1.0,100.0
-4110.0,0.0,2.0,112.0
-4080.0,0.0,1.0,102.0
-4050.0,1.0,0.0,112.0
-4020.0,0.0,1.0,97.0
-3990.0,0.0,0.0,96.0
-3960.0,0.0,1.0,98.0
-3930.0,0.0,0.0,119.0
-3900.0,1.0,1.0,101.0
-3870.0,0.0,3.0,99.0
-3840.0,1.0,1.0,97.0
-3810.0,2.0,1.0,115.0
-3780.0,0.0,3.0,105.0
-3750.0,1.0,4.0,121.0
-3720.0,0.0,1.0,106.0
-3690.0,0.0,2.0,122.0
-3660.0,0.0,0.0,113.0
-3630.0,0.0,2.0,115.0
-3600.0,1.0,3.0,106.0
-3570.0,1.0,1.0,109.0
-3540.0,3.0,1.0,112.0
-3510.0,1.0,3.0,98.0
-3480.0,2.0,1.0,106.0
-3450.0,0.0,4.0,97.0
-3420.0,1.0,1.0,102.0
-3390.0,2.0,2.0,99.0
-3360.0,0.0,1.0,113.0
-3330.0,0.0,3.0,118.0
-3300.0,0.0,2.0,119.0
-3270.0,1.0,3.0,131.0
-3240.0,1.0,4.0,113.0
-3210.0,0.0,3.0,117.0
-3180.0,1.0,8.0,137.0
-3150.0,1.0,0.0,128.0
-3120.0,3.0,1.0,137.0
-3090.0,1.0,5.0,121.0
-3060.0,2.0,4.0,138.0
-3030.0,0.0,4.0,131.0
-3000.0,0.0,7.0,117.0
-2970.0,1.0,4.0,151.0
-2940.0,1.0,2.0,152.0
-2910.0,2.0,3.0,126.0
-2880.0,0.0,1.0,145.0
-2850.0,1.0,3.0,123.0
-2820.0,0.0,6.0,126.0
-2790.0,2.0,6.0,126.0
-2760.0,0.0,2.0,110.0
-2730.0,4.0,3.0,128.0
-2700.0,3.0,4.0,141.0
-2670.0,6.0,5.0,133.0
-2640.0,2.0,6.0,152.0
-2610.0,3.0,5.0,126.0
-2580.0,0.0,5.0,125.0
-2550.0,0.0,10.0,143.0
-2520.0,2.0,7.0,141.0
-2490.0,1.0,1.0,139.0
-2460.0,2.0,4.0,109.0
-2430.0,0.0,5.0,144.0
-2400.0,0.0,6.0,124.0
-2370.0,3.0,8.0,140.0
-2340.0,1.0,8.0,150.0
-2310.0,2.0,3.0,154.0
-2280.0,1.0,8.0,149.0
-2250.0,1.0,8.0,153.0
-2220.0,2.0,5.0,153.0
-2190.0,3.0,6.0,147.0
-2160.0,4.0,7.0,150.0
-2130.0,1.0,7.0,153.0
-2100.0,2.0,3.0,152.0
-2070.0,3.0,6.0,158.0
-2040.0,4.0,6.0,177.0
-2010.0,3.0,8.0,155.0
-1980.0,1.0,10.0,152.0
-1950.0,5.0,9.0,153.0
-1920.0,3.0,8.0,168.0
-1890.0,4.0,12.0,177.0
-1860.0,4.0,7.0,164.0
-1830.0,5.0,15.0,158.0
-1800.0,3.0,16.0,153.0
-1770.0,6.0,7.0,175.0
-1740.0,7.0,9.0,212.0
-1710.0,1.0,4.0,186.0
-1680.0,4.0,1.0,165.0
-1650.0,1.0,12.0,166.0
-1620.0,7.0,8.0,182.0
-1590.0,5.0,12.0,189.0
-1560.0,3.0,7.0,186.0
-1530.0,8.0,8.0,212.0
-1500.0,5.0,16.0,215.0
-1470.0,6.0,11.0,254.0
-1440.0,4.0,9.0,225.0
-1410.0,8.0,19.0,229.0
-1380.0,9.0,12.0,234.0
-1350.0,5.0,15.0,228.0
-1320.0,3.0,11.0,213.0
-1290.0,8.0,18.0,235.0
-1260.0,4.0,19.0,232.0
-1230.0,7.0,10.0,232.0
-1200.0,7.0,14.0,264.0
-1170.0,8.0,19.0,259.0
-1140.0,7.0,20.0,234.0
-1110.0,8.0,15.0,277.0
-1080.0,8.0,15.0,280.0
-1050.0,9.0,16.0,266.0
-1020.0,5.0,13.0,263.0
-990.0,5.0,22.0,275.0
-960.0,6.0,22.0,321.0
-930.0,8.0,22.0,298.0
-900.0,3.0,11.0,294.0
-870.0,13.0,14.0,288.0
-840.0,9.0,11.0,303.0
-810.0,14.0,19.0,355.0
-780.0,7.0,18.0,309.0
-750.0,7.0,22.0,340.0
-720.0,5.0,21.0,307.0
-690.0,12.0,11.0,368.0
-660.0,4.0,22.0,353.0
-630.0,14.0,18.0,333.0
-600.0,4.0,20.0,369.0
-570.0,13.0,22.0,374.0
-540.0,16.0,15.0,457.0
-510.0,13.0,22.0,411.0
-480.0,9.0,19.0,398.0
-450.0,13.0,19.0,418.0
-420.0,3.0,18.0,409.0
-390.0,11.0,15.0,428.0
-360.0,9.0,22.0,410.0
-330.0,12.0,14.0,405.0
-300.0,14.0,18.0,475.0
-270.0,22.0,19.0,457.0
-240.0,16.0,26.0,473.0
-210.0,12.0,22.0,479.0
-180.0,18.0,22.0,470.0
-150.0,18.0,32.0,516.0
-120.0,11.0,22.0,469.0
-90.0,16.0,19.0,516.0
-60.0,13.0,19.0,509.0
-30.0,18.0,17.0,491.0
0.0,19.0,17.0,569.0
30.0,16.0,23.0,655.0
60.0,20.0,20.0,579.0
90.0,17.0,20.0,560.0
120.0,16.0,17.0,583.0
150.0,16.0,30.0,635.0
180.0,13.0,16.0,628.0
210.0,14.0,13.0,582.0
240.0,17.0,22.0,590.0
270.0,20.0,13.0,605.0
300.0,13.0,17.0,727.0
330.0,27.0,24.0,737.0
360.0,22.0,19.0,798.0
390.0,10.0,24.0,728.0
420.0,12.0,27.0,755.0
450.0,18.0,20.0,770.0
480.0,19.0,20.0,746.0
510.0,16.0,17.0,714.0
540.0,14.0,17.0,679.0
570.0,16.0,11.0,689.0
600.0,15.0,15.0,734.0
630.0,29.0,14.0,789.0
660.0,19.0,12.0,749.0
690.0,17.0,18.0,727.0
720.0,19.0,9.0,716.0
750.0,15.0,8.0,695.0
780.0,18.0,14.0,656.0
810.0,21.0,17.0,680.0
840.0,12.0,19.0,658.0
870.0,15.0,7.0,574.0
900.0,15.0,6.0,692.0
930.0,19.0,11.0,624.0
960.0,23.0,9.0,606.0
990.0,15.0,14.0,589.0
1020.0,11.0,9.0,550.0
1050.0,9.0,13.0,603.0
1080.0,7.0,8.0,541.0
1110.0,14.0,6.0,508.0
1140.0,9.0,10.0,561.0
1170.0,5.0,10.0,469.0
1200.0,11.0,5.0,537.0
1230.0,13.0,8.0,521.0
1260.0,11.0,11.0,550.0
1290.0,7.0,9.0,479.0
1320.0,8.0,8.0,483.0
1350.0,8.0,7.0,439.0
1380.0,6.0,6.0,396.0
1410.0,10.0,6.0,381.0
1440.0,7.0,6.0,378.0
1470.0,6.0,3.0,356.0
1500.0,2.0,6.0,357.0
1530.0,6.0,3.0,342.0
1560.0,6.0,5.0,347.0
1590.0,6.0,5.0,306.0
1620.0,9.0,3.0,312.0
1650.0,3.0,6.0,278.0
1680.0,5.0,2.0,266.0
1710.0,2.0,1.0,273.0
1740.0,2.0,4.0,280.0
1770.0,5.0,6.0,235.0
1800.0,2.0,3.0,212.0
1830.0,4.0,3.0,245.0
1860.0,4.0,6.0,192.0
1890.0,5.0,2.0,185.0
1920.0,2.0,3.0,175.0
1950.0,5.0,0.0,173.0
1980.0,3.0,0.0,165.0
2010.0,3.0,0.0,144.0
2040.0,5.0,2.0,130.0
2070.0,1.0,1.0,143.0
2100.0,1.0,4.0,169.0
2130.0,2.0,1.0,169.0
2160.0,2.0,3.0,132.0
2190.0,0.0,1.0,142.0
2220.0,0.0,0.0,114.0
2250.0,1.0,2.0,109.0
2280.0,1.0,0.0,95.0
2310.0,2.0,3.0,101.0
2340.0,1.0,0.0,97.0
2370.0,1.0,1.0,83.0
2400.0,1.0,3.0,91.0
2430.0,2.0,1.0,82.0
2460.0,1.0,0.0,63.0
2490.0,0.0,2.0,64.0
2520.0,1.0,2.0,46.0
2550.0,0.0,0.0,52.0
2580.0,1.0,0.0,62.0
2610.0,1.0,0.0,53.0
2640.0,0.0,0.0,45.0
2670.0,1.0,2.0,29.0
2700.0,0.0,0.0,36.0
2730.0,1.0,0.0,31.0
2760.0,0.0,0.0,35.0
2790.0,1.0,1.0,31.0
2820.0,0.0,1.0,26.0
2850.0,1.0,0.0,36.0
2880.0,0.0,0.0,35.0
2910.0,2.0,0.0,23.0
2940.0,0.0,0.0,12.0
2970.0,1.0,0.0,22.0
3000.0,0.0,0.0,27.0
3030.0,4.0,1.0,20.0
3060.0,0.0,0.0,26.0
3090.0,1.0,0.0,23.0
3120.0,0.0,0.0,14.0
3150.0,1.0,1.0,11.0
3180.0,2.0,0.0,11.0
3210.0,1.0,0.0,12.0
3240.0,0.0,0.0,16.0
3270.0,0.0,0.0,20.0
3300.0,2.0,0.0,12.0
3330.0,0.0,0.0,4.0
3360.0,0.0,0.0,11.0
3390.0,0.0,0.0,13.0
